Edad,Género,Estado Civil al momento de ingresar a la Universidad,Nacionalidad,Provincia donde reside,Indique la región de la cual viene,Indique el promedio con el que ingresó a la Universidad,Edad de ingreso a la universidad,Carrera en la que estudia,Puede indicarnos las razones por las cuales usted ingresó a esta carrera,Categorías de las razones de ingreso a carrera,¿Sabía de la carrera antes que entrara a la universidad?,Nivel actual de la carrera,¿Tuvo motivación familiar para ingresar a la carrera?,¿Tiene en su círculo cercano de amistades o conocidos alguien que estudiara una carrera similar o la misma carrera que usted escogió?,¿Tuvo motivación por los profesores de secundaria para escoger la carrera?,Puede indicarnos acerca de factores externos que influyeran en su selección de carrera,Su colegio era:,¿Cuál fue su emoción al ingresar a la carrera?,¿Sabía usted al momento de ingresar a la carrera que existían diferentes oportunidades de becas en la UNA?,¿Tiene actualmente o tuvo una beca universitaria?,¿Usted al ingresar a la universidad estaba trabajando?,Nivel escolar de su madre,Nivel escolar de su padre,¿Cuáles fueron los factores por los cuales ingresó a la UNA?,Categorías de los factores de ingreso a la UNA
38,Hombre,Soltero (a),Costarricense,Alajuela,Urbana,83.75,17,Ingeniería en sistemas de la información,Siempre fue de mi agrado,Interés personal,Sí,Egresado (a),No,Sí,No,Hacia páginas web antes de los 10 años,Público Académico (Liceo),"Ansiedad,Entusiasmo",Sí,Sí,Sí,Licenciatura,Maestría,"Sólo hice examen de la UNA, no sabía que daban la carrera en otras universidades",Admisión a la carrera_Otros
22,Hombre,Soltero (a),Costarricense,Heredia,Urbana,752,18,Ingeniería en sistemas de la información,Era la carrera que más me apasionaba e iba de la mano con mis gustos,Interés personal,Sí,Egresado (a),Sí,No,No,,Público Académico (Liceo),Felicidad,No,Sí,No,Técnico,Secundaria incompleta,Era la mejor oportunidad que analicé entre todas,Interés personal
38,Hombre,Soltero (a),Costarricense,Heredia,Urbana,No recuerdo,17,Ingeniería en sistemas de la información,Era una carrera muy recomendable,Recomendaciones,No,Egresado (a),Sí,No,Si,El mercado laboral,Público Académico (Liceo),"Felicidad,Entusiasmo",Sí,Sí,No,Primaria,Primaria,"Cercanía, era pública, es muy buena ",Cercanía Geográfica_Factores Económicos_Reputación
23,Hombre,Soltero (a),Costarricense,Heredia,Urbana,9.21,20,Ingeniería en sistemas de la información,Deseo de superación,Otros,Sí,Cuarto,Sí,Sí,No,,CTP público,Entusiasmo,Sí,Sí,Sí,Secundaria incompleta,Primaria,Porque es conocida como la universidad humanista,Reputación
20,Hombre,Soltero (a),Costarricense,Heredia,Urbana,"9,3",18,Ingeniería en sistemas de la información,Me gusta la tecnología,Interés personal_Afinidad con la materia,Sí,Tercero,Sí,Sí,No,,Privado,Entusiasmo,No,Sí,No,Bachillerato Universitario,Bachillerato Universitario,Daban la carrera que me gustaba y me queda cerca de la casa,Interés personal_Cercanía Geográfica
23,Hombre,Soltero (a),Costarricense,Heredia,Urbana,95,18,Ingeniería en sistemas de la información,Facilidad para matemáticas/ Recomendaciones / oferta laboral y salarios,Afinidad con la materia_Recomendaciones_Amplia oportunidad laboral_Proyecciones económicas,Sí,Cuarto,Sí,Sí,No,Un amigo que la estudiaba me la recomendó,Público Académico (Liceo),Felicidad,Sí,Sí,No,Secundaria incompleta,Técnico,Cercanía y reputación,Cercanía Geográfica_Reputación
19,Hombre,Soltero (a),Costarricense,Heredia,Urbana,90,17,Ingeniería en sistemas de la información,Por el gusto y la salida laboral,Interés personal_Amplia oportunidad laboral,Sí,Tercero,Sí,Sí,No,,Semiprivado,Ansiedad,No,Sí,No,Bachillerato Universitario,Bachillerato Universitario,Ubicación,Cercanía Geográfica
27,Hombre,Soltero (a),Costarricense,Heredia,Urbana,9,18,Ingeniería en sistemas de la información,Porque me gustaban las matemáticas,Afinidad con la materia_Interés personal,Sí,Egresado (a),Sí,Sí,No,Elegí pensando en algo con salida laboral y que me gustara.,Humanístico,"Miedo,Ansiedad",Sí,Sí,No,Secundaria incompleta,Lic,Cercanía de donde vivo.,Cercanía Geográfica
19,Hombre,Soltero (a),Costarricense,Heredia,Urbana,536,17,Cartografía,Tiene que ver con diseñar y a mí me gusta,Interés personal_Afinidad con la materia,No,Tercero,Sí,No,No,No hay,Bilingue,Entusiasmo,Sí,Sí,No,Secundaria incompleta,Primaria,Las carreras que había y porque me queda cerca,Cercanía Geográfica_Factores Curriculares
33,Hombre,Soltero (a),Costarricense,Heredia,Urbana,No recuerdo,22,Agronomía,"Gusto por la temática vegetal, animal y la producción ",Interés personal_Afinidad con la materia,Sí,Egresado (a),No,Sí,No,Cercanía a mi casa. Lo llamativo de las ciencias,Bilingue,Felicidad,Sí,No,No,Secundaria,Licenciatura,"Cercanía a mi casa, facilidad para llegar, reconocimiento de la universidad",Cercanía Geográfica_Reputación
